title,star,quote,url
肖申克的救赎?/?The Shawshank Redemption?/?月黑高飞(港)  /  刺激1995(台),9.7,希望让人自由。,https://movie.douban.com/subject/1292052/
霸王别姬?/?再见，我的妾  /  Farewell My Concubine,9.6,风华绝代。,https://movie.douban.com/subject/1291546/
阿甘正传?/?Forrest Gump?/?福雷斯特·冈普,9.5,一部美国近现代史。,https://movie.douban.com/subject/1292720/
泰坦尼克号?/?Titanic?/?铁达尼号(港 / 台),9.5,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
千与千寻?/?千と千尋の神隠し?/?神隐少女(台)  /  千与千寻的神隐,9.4,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
这个杀手不太冷?/?Léon?/?终极追杀令(台)  /  杀手莱昂,9.4,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
美丽人生?/?La vita è bella?/?一个快乐的传说(港)  /  Life Is Beautiful,9.5,最美的谎言。,https://movie.douban.com/subject/1292063/
星际穿越?/?Interstellar?/?星际启示录(港)  /  星际效应(台),9.4,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
盗梦空间?/?Inception?/?潜行凶间(港)  /  全面启动(台),9.4,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
楚门的世界?/?The Truman Show?/?真人Show(港)  /  真人戏,9.4,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
辛德勒的名单?/?Schindler's List?/?舒特拉的名单(港)  /  辛德勒名单,9.5,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
忠犬八公的故事?/?Hachi: A Dog's Tale?/?秋田犬八千(港)  /  忠犬小八(台),9.4,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
海上钢琴师?/?La leggenda del pianista sull'oceano?/?声光伴我飞(港)  /  一九零零的传奇,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞?/?3 Idiots?/?三个傻瓜(台)  /  作死不离3兄弟(港),9.2,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
放牛班的春天?/?Les choristes?/?歌声伴我心(港)  /  唱诗班男孩,9.3,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
机器人总动员?/?WALL·E?/?太空奇兵·威E(港)  /  瓦力(台),9.3,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
疯狂动物城?/?Zootopia?/?优兽大都会(港)  /  动物方城市(台),9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
无间道?/?無間道?/?Infernal Affairs  /  Mou gaan dou,9.3,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
控方证人?/?Witness for the Prosecution?/?雄才伟略  /  情妇,9.6,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/
大话西游之大圣娶亲?/?西遊記大結局之仙履奇緣?/?西游记完结篇仙履奇缘  /  齐天大圣西游记,9.2,一生所爱。,https://movie.douban.com/subject/1292213/
熔炉?/?????/?无声呐喊(港)  /  漩涡,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
教父?/?The Godfather?/?Mario Puzo's The Godfather,9.3,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
触不可及?/?Intouchables?/?闪亮人生(港)  /  逆转人生(台),9.3,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
当幸福来敲门?/?The Pursuit of Happyness?/?寻找快乐的故事(港)  /  追求快乐,9.2,平民励志片。 ,https://movie.douban.com/subject/1849031/
寻梦环游记?/?Coco?/?玩转极乐园(港)  /  可可夜总会(台),9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/
末代皇帝?/?The Last Emperor?/?末代皇帝溥仪(港)  /  L'ultimo imperatore,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
